,NAME,state,place,H011001,H011004,% Renters
398,"Kingston Estates CDP, New Jersey",34,36960,5594,1014,0.181265642
399,"Kinnelon borough, New Jersey",34,37110,10245,775,0.075646657
400,"Lake Como borough, New Jersey",34,37560,1759,773,0.439454235
401,"Lakehurst borough, New Jersey",34,37770,2654,908,0.342125094
402,"Laurel Lake CDP, New Jersey",34,39120,2989,1017,0.340247574
403,"Lake Mohawk CDP, New Jersey",34,38040,9889,927,0.09374052
404,"Lake Telemark CDP, New Jersey",34,38430,1255,73,0.058167331
405,"Lambertville city, New Jersey",34,38610,3878,1339,0.345281073
406,"Burdett village, New York",36,11132,340,57,0.167647059
407,"Brookville village, New York",36,10132,1988,111,0.05583501
408,"Brocton village, New York",36,8488,1486,501,0.337146703
409,"Bronxville village, New York",36,8532,6088,1119,0.183804205
410,"Buchanan village, New York",36,10341,2218,619,0.279080252
411,"Brookhaven CDP, New York",36,9000,2993,497,0.166054126
412,"Brownville village, New York",36,10231,1113,295,0.265049416
413,"Brushton village, New York",36,10286,474,170,0.358649789
414,"Burke village, New York",36,11154,211,64,0.303317536
415,"Buffalo city, New York",36,11000,251939,144449,0.573349104
416,"Byersville CDP, New York",36,11550,47,7,0.14893617
417,"Calcium CDP, New York",36,11671,3491,2962,0.848467488
418,"Callicoon CDP, New York",36,11748,167,63,0.377245509
419,"Calverton CDP, New York",36,11781,6486,1115,0.171908726
420,"Cambridge village, New York",36,11825,1863,565,0.303274289
421,"Camillus village, New York",36,11902,1206,475,0.393864013
422,"Campbell CDP, New York",36,11935,713,146,0.204768583
423,"Cape Vincent village, New York",36,12353,726,202,0.278236915
424,"Camden village, New York",36,11847,2195,842,0.383599089
425,"Busti CDP, New York",36,11440,391,92,0.235294118
426,"Cairo CDP, New York",36,11638,1387,506,0.36481615
427,"Caledonia village, New York",36,11704,2194,528,0.240656335
428,"Canandaigua city, New York",36,12144,10255,4352,0.424378352
429,"Candor village, New York",36,12210,812,241,0.29679803
430,"Canisteo village, New York",36,12254,2265,548,0.241942605
431,"Carle Place CDP, New York",36,12419,4980,1104,0.221686747
432,"Carmel Hamlet CDP, New York",36,12532,6486,1124,0.173296331
433,"Canajoharie village, New York",36,12111,2206,800,0.362647325
434,"Canaseraga village, New York",36,12177,550,171,0.310909091
435,"Canastota village, New York",36,12188,4794,1911,0.398623279
436,"Canton village, New York",36,12331,3453,1698,0.491746308
437,"Caroga Lake CDP, New York",36,12584,518,64,0.123552124
438,"Carthage village, New York",36,12683,3602,1896,0.526374237
439,"Cassadaga village, New York",36,12749,634,119,0.187697161
440,"Castile village, New York",36,12771,1015,272,0.267980296
441,"Castleton-on-Hudson village, New York",36,12870,1377,378,0.274509804
442,"Castorland village, New York",36,12881,327,117,0.357798165
443,"Catskill village, New York",36,13002,4004,1895,0.473276723
444,"Centereach CDP, New York",36,13376,31418,3995,0.127156407
