GEO_ID,NAME,P001001
id,Geographic Area Name,Total
1600000US3437560,"Lake Como borough, New Jersey",1759
1600000US3437770,"Lakehurst borough, New Jersey",2654
1600000US3439120,"Laurel Lake CDP, New Jersey",2989
1600000US3438040,"Lake Mohawk CDP, New Jersey",9916
1600000US3438430,"Lake Telemark CDP, New Jersey",1255
1600000US3438610,"Lambertville city, New Jersey",3906
1600000US3611132,"Burdett village, New York",340
1600000US3610132,"Brookville village, New York",3465
1600000US3608488,"Brocton village, New York",1486
1600000US3608532,"Bronxville village, New York",6323
1600000US3610341,"Buchanan village, New York",2230
1600000US3609000,"Brookhaven CDP, New York",3451
1600000US3610231,"Brownville village, New York",1119
1600000US3610286,"Brushton village, New York",474
1600000US3611154,"Burke village, New York",211
1600000US3611000,"Buffalo city, New York",261310
1600000US3611550,"Byersville CDP, New York",47
1600000US3611671,"Calcium CDP, New York",3491
1600000US3611748,"Callicoon CDP, New York",167
1600000US3611781,"Calverton CDP, New York",6510
1600000US3611825,"Cambridge village, New York",1870
1600000US3611902,"Camillus village, New York",1213
1600000US3611935,"Campbell CDP, New York",713
1600000US3612353,"Cape Vincent village, New York",726
1600000US3611847,"Camden village, New York",2231
1600000US3611440,"Busti CDP, New York",391
1600000US3611638,"Cairo CDP, New York",1402
1600000US3611704,"Caledonia village, New York",2201
1600000US3612144,"Canandaigua city, New York",10545
1600000US3612210,"Candor village, New York",851
1600000US3612254,"Canisteo village, New York",2270
1600000US3612419,"Carle Place CDP, New York",4981
1600000US3612532,"Carmel Hamlet CDP, New York",6817
1600000US3612111,"Canajoharie village, New York",2229
1600000US3612177,"Canaseraga village, New York",550
1600000US3612188,"Canastota village, New York",4804
1600000US3612331,"Canton village, New York",6314
1600000US3612584,"Caroga Lake CDP, New York",518
1600000US3612683,"Carthage village, New York",3747
1600000US3612749,"Cassadaga village, New York",634
1600000US3612771,"Castile village, New York",1015
1600000US3612870,"Castleton-on-Hudson village, New York",1473
1600000US3612881,"Castorland village, New York",351
1600000US3613002,"Catskill village, New York",4081
1600000US3613376,"Centereach CDP, New York",31578
1600000US5538350,"Johnson Creek village, Wisconsin",2738
1600000US5538625,"Jump River CDP, Wisconsin",52
1600000US5538650,"Junction City village, Wisconsin",439
1600000US5539175,"Kennan village, Wisconsin",135
1600000US5538600,"Juda CDP, Wisconsin",357
1600000US5538675,"Juneau city, Wisconsin",2814
1600000US5538800,"Kaukauna city, Wisconsin",15462
1600000US5538900,"Kekoskee village, Wisconsin",161
1600000US5538225,"Jim Falls CDP, Wisconsin",237
1600000US5539000,"Kellnersville village, Wisconsin",332
1600000US5539150,"Kendall village, Wisconsin",472
1600000US5539225,"Kenosha city, Wisconsin",99218
1600000US5539250,"Keshena CDP, Wisconsin",1262
1600000US5539300,"Kewaskum village, Wisconsin",4004
