,H002001,H002002,NAME,state,place
15953,993,920,"Toledo city, Iowa",19,78510
15954,59,0,"Toronto city, Iowa",19,78600
15955,778,0,"Traer city, Iowa",19,78735
15956,381,0,"Treynor city, Iowa",19,78825
15957,568,0,"Tripoli city, Iowa",19,78915
15958,40,0,"Truesdale city, Iowa",19,79095
15959,187,0,"Truro city, Iowa",19,79140
15960,38,0,"Turin city, Iowa",19,79185
15961,388,0,"Twin Lakes CDP, Iowa",19,79335
15962,60,0,"Unionville city, Iowa",19,79680
15963,26,0,"Udell city, Iowa",19,79410
15964,336,0,"Underwood city, Iowa",19,79500
15965,200,0,"Union city, Iowa",19,79545
15966,512,512,"University Heights city, Iowa",19,79770
15967,206,164,"University Park city, Iowa",19,79815
15968,543,0,"Urbana city, Iowa",19,79905
15969,16319,16094,"Urbandale city, Iowa",19,79950
15970,209,0,"Ute city, Iowa",19,79995
15971,189,0,"Vail city, Iowa",19,80130
15972,119,0,"Van Wert city, Iowa",19,80490
15973,415,0,"Van Meter city, Iowa",19,80445
15974,26,0,"Valeria city, Iowa",19,80175
15975,322,0,"Van Horne city, Iowa",19,80400
15976,35,0,"Varina city, Iowa",19,80535
15977,377,233,"Ventura city, Iowa",19,80580
15978,430,0,"Victor city, Iowa",19,80805
15979,614,0,"Villisca city, Iowa",19,80985
15980,73,0,"Vincent city, Iowa",19,81075
15981,30,0,"Vining city, Iowa",19,81120
15982,743,0,"Wahpeton city, Iowa",19,81615
15983,2299,2191,"Vinton city, Iowa",19,81210
15984,107,0,"Volga city, Iowa",19,81345
15985,123,0,"Wadena city, Iowa",19,81570
15986,806,0,"Walcott city, Iowa",19,81705
15987,492,0,"Walford city, Iowa",19,81840
15988,42,9,"North Escobares CDP, Texas",48,52068
15989,989,697,"Northlake town, Texas",48,52212
15990,208,165,"North Pearsall CDP, Texas",48,52302
15991,26395,26395,"North Richland Hills city, Texas",48,52356
15992,254,0,"Oak Grove town, Texas",48,52902
15993,24,24,"Northridge CDP, Texas",48,52362
15994,289,289,"North San Pedro CDP, Texas",48,52404
15995,91,0,"Novice city, Texas",48,52668
15996,102,0,"Oakhurst CDP, Texas",48,52992
15997,171,0,"Oak Island CDP, Texas",48,53004
15998,190,0,"Oak Ridge town (Kaufman County), Texas",48,53160
15999,482,402,"Oak Leaf city, Texas",48,53115
16000,1059,810,"Oak Point city, Texas",48,53130
16001,66,0,"Oak Ridge town (Cooke County), Texas",48,53154
16002,1174,1174,"Oak Ridge North city, Texas",48,53190
16003,69,0,"O'Brien city, Texas",48,53304
16004,1217,1084,"Oak Trail Shores CDP, Texas",48,53212
16005,172,0,"Oak Valley town, Texas",48,53217
16006,246,0,"Oakwood town, Texas",48,53232
16007,889,884,"Odem city, Texas",48,53376
16008,39806,39592,"Odessa city, Texas",48,53388
16009,402,0,"O'Donnell city, Texas",48,53436
16010,207,0,"Oglesby city, Texas",48,53520
16011,152,0,"Oilton CDP, Texas",48,53556
16012,34,34,"Old Escobares CDP, Texas",48,53718
16013,336,288,"Olmito CDP, Texas",48,53964
16014,457,386,"Old River-Winfree city, Texas",48,53824
16015,895,895,"Olivarez CDP, Texas",48,53934
16016,25,25,"Olivia Lopez de Gutierrez CDP, Texas",48,53946
16017,81,0,"Olmito and Olmito CDP, Texas",48,53970
16018,1096,1096,"Olmos Park city, Texas",48,53988
16019,1545,1486,"Olney city, Texas",48,54000
16020,864,0,"Olton city, Texas",48,54012
16021,450,0,"Omaha city, Texas",48,54024
16022,1207,1188,"Onalaska city, Texas",48,54048
16023,76,0,"Opdyke West town, Texas",48,54075
16024,150,0,"Orchard city, Texas",48,54192
16025,8868,8643,"Orange city, Texas",48,54132
